data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:40:28.999;5017;5017 EEI NEGRINHO DO PASTOREIO                          ;0;76;76;0;46;46;0;0;0;0;0;0;0;122
2022-05-01 01:40:29.000;5018;5018 IEI ESPERANÇA CORDEIRO                             ;0;33;33;0;45;45;0;0;0;0;0;0;0;78
2022-05-01 01:40:29.002;5019;5019 IEI VOVÔ CAZEMIRO -ACM CRUZEIRO                    ;0;101;101;0;93;93;0;0;0;0;0;0;0;194
2022-05-01 01:40:29.003;5020;5020 EEI MADRE TERESA                                   ;0;37;37;0;130;130;0;0;0;0;0;0;0;167
2022-05-01 01:40:29.004;5021;5021 EEI GALPÃOZINHO                                    ;0;64;64;0;48;48;0;0;0;0;0;0;0;112
2022-05-01 01:40:29.005;5023;5023 EEI VO ANA                                         ;0;44;44;0;43;43;0;0;0;0;0;0;0;87
2022-05-01 01:40:29.006;5024;5024 IEI LAR DA CRIANÇA MENINO JESUS DE PRAGA           ;0;38;38;0;40;40;0;0;0;0;0;0;0;78
2022-05-01 01:40:29.007;5026;5026 IEI CRIANÇA ESPERANÇA                              ;0;54;54;0;42;42;0;0;0;0;0;0;0;96
2022-05-01 01:40:29.013;5027;5027 IEI GIRASSOL                                       ;0;40;40;0;39;39;0;0;0;0;0;0;0;79
2022-05-01 01:40:29.014;5028;5028 EEI SÃO VICENTE DE PAULO                           ;0;39;39;0;47;47;0;0;0;0;0;0;0;86
2022-05-01 01:40:29.015;5029;5029 EEI CANTINHO DOS PIAS                              ;0;40;40;0;64;64;0;0;0;0;0;0;0;104
2022-05-01 01:40:29.016;5030;5030 EEI TRÊS CORAÇÕES                                  ;0;54;54;0;46;46;0;0;0;0;0;0;0;100
2022-05-01 01:40:29.765;5031;5031 IEI TIA ROSA                                       ;0;47;47;0;28;28;0;0;0;0;0;0;0;75
2022-05-01 01:40:29.766;5032;5032 IEI JERUSALÉM BEITH SHALOM                         ;0;43;43;0;41;41;0;0;0;0;0;0;0;84
2022-05-01 01:40:29.768;5033;5033 IEI ALAN MARIA TEREZA                              ;0;44;44;0;31;31;0;0;0;0;0;0;0;75
2022-05-01 01:40:29.769;5034;5034 IEI ALAN BOM JESUS                                 ;0;58;58;0;49;49;0;0;0;0;0;0;0;107
2022-05-01 01:40:29.770;5035;5035 EEI NOSSA SENHORA APARECIDA VILA PINTO             ;0;38;38;0;64;64;0;0;0;0;0;0;0;102
2022-05-01 01:40:29.771;5036;5036 EEI MUNDO CRIANÇA                                  ;0;50;50;0;50;50;0;0;0;0;0;0;0;100
2022-05-01 01:40:29.772;5037;5037 IEI AELCA                                          ;0;66;66;0;44;44;0;0;0;0;0;0;0;110
2022-05-01 01:40:29.773;5038;5038 IEI NOSSA SENHORA DE FÁTIMA -BOM JESUS             ;0;56;56;0;54;54;0;0;0;0;0;0;0;110
2022-05-01 01:40:29.774;5040;5040 IEI SAGRADA FAMÍLIA                                ;0;33;33;0;36;36;0;0;0;0;0;0;0;69
2022-05-01 01:40:29.775;5041;5041 EEI MENSAGEIROS DA LUZ                             ;0;26;26;0;41;41;0;0;0;0;0;0;0;67
2022-05-01 01:40:29.776;5042;5042 IEI PIU PIU                                        ;0;30;30;0;28;28;0;0;0;0;0;0;0;58
